programa;id;nome;marca;categoria;preco;preco_antigo;comissao;bsr;vendas_mes;avaliacao;avaliacoes;url;link;imagem;descricao;pros;contras;atributos;palavras_chave;publico
amazon-br;B0EXEMPLO11;Ração Seca para Cães Adultos Porte Médio e Grande Frango e Arroz 15 kg;Aurora Pet;Pet Shop;189.90;;;270;;4.8;15220;;;;Ração super premium com frango como primeiro ingrediente, ômega 3 e 6, glucosamina e condroitina para articulações.;"Frango como primeiro ingrediente; Ômega 3 e 6 (pelo brilhante); Glucosamina para articulações; Boa aceitação segundo as avaliações";"Grãos grandes para cães de porte médio pequeno; Embalagem sem zíper";"peso=15 kg; porte=médio e grande; fase=adulto; proteína bruta=26%; validade=18 meses";ração cachorro 15kg, ração super premium, ração cães adultos;tutores de cães de porte médio e grande que compram ração mensalmente
amazon-br;B0EXEMPLO12;Parafusadeira e Furadeira a Bateria 12 V com 2 Baterias, Maleta e 40 Acessórios;Cedro;Ferramentas;279.90;349.90;;610;;4.7;6380;;;;Parafusadeira/furadeira de impacto 12 V com duas baterias de íon-lítio, 20 níveis de torque, luz LED e maleta com 40 acessórios.;"Vem com duas baterias; 20 níveis de torque; Maleta completa com bits e brocas; Leve (1,1 kg)";"Torque limitado para alvenaria dura; Carregador demora 60 min";"voltagem=12 V; baterias=2x 1,5 Ah; torque=25 Nm; velocidades=2; mandril=10 mm; garantia=12 meses";parafusadeira a bateria, furadeira 12v, parafusadeira com maleta;quem faz pequenos reparos e montagens em casa
amazon-br;B0EXEMPLO13;Sérum Facial Vitamina C 10% com Ácido Hialurônico 30 ml;Amber & Co;Beleza;89.90;;;1300;;4.5;9770;;;;Sérum antioxidante com vitamina C estabilizada 10%, ácido hialurônico e niacinamida, sem parabenos e sem fragrância.;"Fórmula sem fragrância; Textura leve, absorve rápido; Registro Anvisa; Rende cerca de 2 meses";"Pode arder em peles sensíveis nos primeiros dias; Embalagem sem proteção contra luz";"volume=30 ml; ativos=vitamina C 10%, ácido hialurônico, niacinamida; uso=diário, pela manhã; registro=Anvisa";sérum vitamina c, vitamina c facial, sérum antioxidante;quem quer uniformizar o tom da pele e começar uma rotina de skincare simples
amazon-br;B0EXEMPLO14;Jogo de Panelas Antiaderentes 5 Peças com Tampas de Vidro;Casa Vitta;Cozinha;259.90;319.90;;2100;;4.6;4020;;;;Conjunto com 5 panelas de alumínio com revestimento antiaderente reforçado, cabos antitérmicos e tampas de vidro temperado.;"Antiaderente reforçado; Tampas de vidro com saída de vapor; Cabos frios ao toque; Compatível com fogão a gás e elétrico";"Não é compatível com indução; Exige utensílios de silicone ou madeira";"peças=5 (caçarolas 16, 18, 20 cm, frigideira 24 cm, panela 22 cm); material=alumínio com antiaderente; fogão=gás e elétrico (não indução); garantia=12 meses";jogo de panelas, panelas antiaderentes, conjunto de panelas;quem está montando a primeira cozinha ou trocando o jogo antigo
amazon-br;B0EXEMPLO15;Livro: Hábitos Financeiros — Como Organizar o Dinheiro em 30 Dias (Capa Comum);Editora Vellum;Livros;49.90;;;150;;4.7;3210;;;;Guia prático de finanças pessoais com plano de 30 dias, planilhas e exercícios para sair das dívidas e começar a investir.;"Linguagem simples e direta; Plano dia a dia; Planilhas para baixar; Boa avaliação dos leitores";"Capítulos sobre investimento são introdutórios; Exemplos focados no Brasil (bom para quem mora aqui)";"páginas=224; formato=capa comum, 16 x 23 cm; idioma=português; edição=2026";livro finanças pessoais, livro organizar dinheiro, educação financeira;quem quer sair do vermelho e organizar as finanças sem termos difíceis
mercado-livre;MLBEXEMPLO1;"Kit Mesa Digitalizadora com Caneta 8192 Níveis e Área 10 x 6""";Kaitex;Informática;349.00;;;;260;4.7;1850;https://produto.mercadolivre.com.br/MLB-exemplo-mesa-digitalizadora;https://mercadolivre.com/sec/EXEMPLO1;;Mesa digitalizadora com área ativa de 10 x 6 polegadas, caneta sem bateria com 8192 níveis de pressão e 8 teclas de atalho.;"8192 níveis de pressão; Caneta sem bateria; Compatível com Windows, macOS e Android; 8 atalhos programáveis";"Driver precisa ser baixado do site do fabricante; Sem tela";"área ativa=10 x 6""; pressão=8192 níveis; atalhos=8; conexão=USB-C; compatibilidade=Windows, macOS, Android";mesa digitalizadora, tablet de desenho, mesa gráfica;ilustradores iniciantes, estudantes e professores que dão aula online
mercado-livre;MLBEXEMPLO2;Purificador de Água de Bancada com Refrigeração e Filtro Classe A;Bravo Home;Eletrodomésticos;699.00;849.00;;;410;4.6;3320;https://produto.mercadolivre.com.br/MLB-exemplo-purificador;https://mercadolivre.com/sec/EXEMPLO2;;Purificador refrigerado com compressor, filtro classe A (Inmetro), reservatório de 1,5 L e 3 temperaturas.;"Refrigeração por compressor (água bem gelada); Filtro classe A; Fácil troca do refil; Baixo consumo";"Refil original custa caro; Precisa de espaço com ventilação atrás";"refrigeração=compressor; reservatório=1,5 L; temperaturas=3; filtro=classe A; voltagem=127 V ou 220 V (escolha ao comprar); garantia=12 meses";purificador de água, purificador refrigerado, filtro de água gelada;famílias que querem substituir o galão de água e ter água gelada sempre
mercado-livre;MLBEXEMPLO3;Bicicleta Ergométrica Vertical com Monitor e Carga até 120 kg;Trilha Norte;Esportes e Lazer;749.00;;;;180;4.4;960;https://produto.mercadolivre.com.br/MLB-exemplo-bicicleta;https://mercadolivre.com/sec/EXEMPLO3;;Bicicleta ergométrica com 8 níveis de resistência magnética, monitor de tempo, distância, calorias e batimentos, dobrável.;"Resistência magnética silenciosa; Dobrável (ocupa pouco espaço); Monitor com batimentos; Suporta até 120 kg";"Selim duro; Montagem leva cerca de 40 min";"resistência=magnética, 8 níveis; capacidade=120 kg; monitor=tempo, distância, calorias, batimentos; dobrável=sim; peso=22 kg";bicicleta ergométrica, bike ergométrica dobrável, exercício em casa;quem quer pedalar em casa sem barulho e guardar o aparelho depois
shopee;SHOPEXEMPLO1;Organizador de Maquiagem Acrílico com 4 Gavetas e Divisórias;Amber & Co;Beleza;59.90;89.90;8;;640;4.8;5120;https://shopee.com.br/exemplo-organizador;https://s.shopee.com.br/EXEMPLO1;;Organizador de acrílico transparente com 4 gavetas, bandeja superior com divisórias e pés antiderrapantes.;"Acrílico resistente e transparente; 4 gavetas com puxador; Fácil de limpar; Boa relação preço/qualidade";"Pequeno para quem tem muita maquiagem; Chega com filme protetor que dá trabalho para tirar";"material=acrílico; gavetas=4; dimensões=24 x 14 x 20 cm; peso=900 g";organizador de maquiagem, organizador acrílico, porta maquiagem;quem quer organizar a penteadeira sem gastar muito
shopee;SHOPEXEMPLO2;Capa Case para Celular Anti-Impacto com Suporte de Anel e Película de Vidro;Orbe;Celulares e Acessórios;39.90;;10;;1250;4.6;11400;https://shopee.com.br/exemplo-capa;https://s.shopee.com.br/EXEMPLO2;;Kit capa anti-impacto com bordas reforçadas, anel giratório que serve de suporte e película de vidro 9H.;"Proteção nas bordas e na câmera; Anel giratório 360°; Vem com película 9H; Vários modelos";"Anel pode soltar com o tempo; Película sem borda preta";"material=TPU + policarbonato; proteção=anti-impacto, bordas elevadas; extras=anel giratório, película 9H";capa celular anti impacto, capinha com anel, kit capa película;quem derruba o celular com frequência e quer proteção barata
shopee;SHOPEXEMPLO3;Garrafa Térmica Inox 1 L Parede Dupla a Vácuo com Infusor;Trilha Norte;Esportes e Lazer;79.90;109.90;6;;900;4.7;7860;https://shopee.com.br/exemplo-garrafa;https://s.shopee.com.br/EXEMPLO3;;Garrafa de aço inox 304 com parede dupla a vácuo, mantém gelado por 24 h e quente por 12 h, com infusor removível para chás e frutas.;"Mantém gelado por até 24 h; Inox 304 sem cheiro; Infusor removível; Tampa com alça";"Não cabe em porta-copos de carro; Pintura pode riscar";"capacidade=1 L; material=inox 304; isolamento=parede dupla a vácuo; gelado=24 h; quente=12 h; peso=420 g";garrafa térmica 1 litro, garrafa inox, garrafa térmica academia;quem leva água ou chá para o trabalho, academia ou trilha
hotmart;HOTEXEMPLO1;Curso Online: Excel do Básico ao Avançado com Certificado (Acesso Vitalício);Escola Kaitex;Cursos;197.00;297.00;50;;95;4.9;2140;https://hotmart.com/pt-br/marketplace/produtos/exemplo-excel;https://go.hotmart.com/EXEMPLO1;;Curso em vídeo com mais de 60 horas, do zero às macros e dashboards, com exercícios, certificado e suporte por 1 ano.;"Mais de 60 h de aulas; Certificado ao concluir; Exercícios práticos com planilhas; Garantia de 7 dias";"Aulas de VBA são densas para iniciantes; Requer Excel instalado (não cobre Google Planilhas)";"carga horária=60 h; acesso=vitalício; certificado=sim; suporte=1 ano; garantia=7 dias (Hotmart)";curso de excel, excel avançado online, curso excel certificado;quem precisa de Excel para o trabalho e quer evoluir para dashboards e automações
hotmart;HOTEXEMPLO2;Ebook + Planilhas: Planejamento de Refeições Saudáveis para a Semana;Cozinha Nordika;Cursos;47.00;;60;;140;4.6;830;https://hotmart.com/pt-br/marketplace/produtos/exemplo-refeicoes;https://go.hotmart.com/EXEMPLO2;;Ebook com 120 páginas, 8 semanas de cardápios, lista de compras automática em planilha e 60 receitas.;"Cardápios prontos para 8 semanas; Lista de compras automática; Receitas simples e econômicas; Preço baixo";"Poucas opções vegetarianas; Planilha só funciona bem no computador";"formato=PDF + planilha; páginas=120; receitas=60; acesso=imediato; garantia=7 dias (Hotmart)";planejamento de refeições, cardápio semanal saudável, ebook receitas;quem quer economizar tempo e dinheiro planejando as refeições da semana
amazon-br;B0EXEMPLO16;Cabo USB-C para USB-C 100 W 2 m Trançado;Orbe;Celulares e Acessórios;29.90;;;95;;4.7;22300;;;;Cabo trançado USB-C para USB-C com suporte a carregamento de 100 W (PD) e transferência de dados USB 2.0.;"Carrega notebooks e celulares até 100 W; Trançado, resistente a dobras; 2 metros; Preço baixo";"Transferência de dados lenta (USB 2.0); Não transmite vídeo";"comprimento=2 m; potência=100 W (PD 3.0); dados=USB 2.0 (480 Mbps); material=nylon trançado";cabo usb c 100w, cabo usb c 2 metros, cabo tipo c;quem quer um cabo único para notebook, celular e fone
amazon-br;B0EXEMPLO17;Jogo de Tabuleiro Estratégia Família 2 a 5 Jogadores (Edição em Português);Kids Lab;Brinquedos;199.90;249.90;;520;;4.8;2870;;;;Jogo de estratégia leve para toda a família, partidas de 45 minutos, 2 a 5 jogadores, totalmente em português.;"Regras fáceis de aprender; Partidas de 45 min; Componentes de boa qualidade; Rejogabilidade alta";"Caixa grande; Preço oscila bastante";"jogadores=2 a 5; idade=10+; duração=45 min; idioma=português; peso=1,4 kg";jogo de tabuleiro família, jogo de estratégia, jogo de tabuleiro português;famílias e grupos de amigos que querem um jogo de estratégia sem regras pesadas
amazon-br;B0EXEMPLO18;Suporte Ergonômico para Notebook em Alumínio Ajustável 6 Níveis;Kaitex;Informática;89.90;;;330;;4.7;9640;;;;Suporte dobrável em alumínio com 6 níveis de altura, apoio antiderrapante e ventilação, para notebooks de 10 a 17 polegadas.;"Alumínio firme e leve; 6 alturas; Dobrável para levar na mochila; Melhora a ventilação";"Não serve para digitar sem teclado externo; Borrachas podem soltar";"material=alumínio; níveis=6; compatibilidade=10"" a 17""; peso=260 g; dobrável=sim";suporte notebook, suporte para notebook alumínio, apoio notebook ergonômico;quem trabalha no notebook e sente dor no pescoço
